,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
404,29,no,travel_rarely,1582.77,,1,3,,1,405,4,female,,2,4,research director,4,divorced,,33238.2,3,y,no,14,3,2,full time,2,9,2,2,7,,1,7,,1994,153407.07,,,yes
405,59,no,,1032.49,,24,4,,1,406,2,male,,3,3,manufacturing director,4,single,8339.32,21682.23,6,y,no,12,3,4,part time,0,,6,2,9,,5,4,8339.32,1964,100071.84,,,no
406,43,no,travel_rarely,1032.49,,4,4,marketing,1,407,4,female,,2,3,sales executive,4,single,8339.32,21682.23,3,y,no,14,3,4,part time,0,23,3,4,21,,15,17,8339.32,1980,100071.84,,,yes
407,44,yes,travel_rarely,1032.49,,15,3,medical,1,408,1,female,129.06091077207583,3,3,healthcare representative,4,married,8339.32,21682.23,1,y,,11,3,4,part time,1,,2,3,10,,0,5,8339.32,1979,100071.84,,,yes
408,29,yes,,290.04,research & development,7,3,technical degree,1,409,2,female,,3,1,laboratory technician,3,divorced,2342.59,6090.75,3,y,yes,13,3,1,,2,10,2,3,7,,7,7,2342.59,1994,,laboratory technician  -  research & development,,yes
409,32,no,travel_rarely,640.61,,8,3,,1,410,3,male,,4,2,sales executive,4,married,5174.17,13452.83,1,y,,15,3,3,full time,2,,4,4,10,,0,8,5174.17,1991,62090.00,,,no
410,36,no,travel_rarely,731.92,,10,4,technical degree,1,411,4,female,,3,3,healthcare representative,3,married,,15370.33,3,y,no,12,3,1,part time,0,,0,3,7,,1,7,,1987,70940.00,,,yes
411,52,yes,,1032.49,sales,5,3,,1,412,2,male,,3,3,sales executive,2,single,8339.32,21682.23,9,y,yes,19,3,3,part time,0,,2,2,8,,7,7,8339.32,1971,100071.84,sales executive  -  sales,,yes
412,39,no,travel_rarely,467.79,,33,2,,1,413,1,male,,3,2,manufacturing director,3,single,3778.33,9823.67,0,y,,11,3,1,,0,,6,,8,,1,7,3778.33,1984,45340.00,,,yes
413,34,no,,876.98,,9,3,,1,414,4,male,,3,3,healthcare representative,4,,7083.33,18416.67,0,y,,11,,4,part time,1,10,0,2,9,,1,6,7083.33,1989,85000.00,,,yes
414,38,no,,556.26,,2,2,life sciences,1,415,2,female,,3,2,sales executive,1,,,11681.39,3,y,,15,3,4,,1,11,3,3,7,,1,7,,1985,53914.11,,,yes
415,36,no,travel_frequently,478.63,sales,12,3,marketing,1,416,1,female,,4,2,sales executive,1,married,3865.83,10051.17,2,y,no,16,3,4,part time,1,,2,2,15,,6,13,3865.83,1987,46390.00,sales executive  -  sales,,yes
416,35,no,,553.33,,1,3,,1,417,4,female,,2,2,laboratory technician,4,,4469.17,11619.83,0,y,no,12,3,2,part time,1,10,0,3,9,,0,0,4469.17,1988,53630.00,,,no
417,55,yes,,1582.77,,13,4,,1,418,1,male,,4,4,sales executive,3,,12783.92,33238.2,6,y,,17,3,3,full time,0,,2,2,19,,3,8,12783.92,1968,153407.07,,,yes
418,34,no,,556.26,,29,3,,1,419,2,male,,3,2,laboratory technician,3,,4492.84,11681.39,4,y,,13,3,1,part time,2,10,1,3,8,,7,7,4492.84,1989,53914.11,,,no
419,43,no,,421.06,,6,3,medical,1,420,1,female,,2,2,research scientist,3,single,3400.83,8842.17,1,y,yes,14,3,1,part time,0,20,3,1,20,,1,8,3400.83,1980,40810.00,,,no
420,42,no,travel_rarely,1582.77,,10,3,human resources,1,421,3,female,,3,4,manager,1,married,12783.92,33238.2,0,y,,14,3,3,full time,1,21,5,3,20,,0,9,12783.92,1981,153407.07,,,no
421,26,no,travel_rarely,369.16,,7,3,,1,422,3,male,,4,1,laboratory technician,1,single,,7752.33,0,y,no,12,3,4,full time,0,8,2,3,7,,0,7,,1997,35780.00,,,yes
422,29,yes,,1032.49,,14,1,other,1,423,3,female,,3,3,healthcare representative,4,single,8339.32,21682.23,0,y,yes,12,3,1,part time,0,,1,3,8,,7,7,8339.32,1994,100071.84,,,yes
423,54,no,,1787.81,research & development,1,3,,1,424,4,female,223.47619047619048,3,4,research director,4,,,37544.0,6,y,,19,3,4,full time,0,29,3,2,20,,12,7,,1969,173280.00,research director  -  research & development,,no
424,55,no,,1582.77,,1,4,,1,425,2,male,,4,4,research director,4,divorced,12783.92,33238.2,2,y,no,13,3,4,full time,2,31,4,4,7,,0,0,12783.92,1968,153407.07,,,yes
425,40,no,non-travel,556.26,,9,4,other,1,426,3,male,,3,2,laboratory technician,3,,4492.84,11681.39,3,y,no,11,3,3,part time,2,11,2,,8,,0,7,4492.84,1983,53914.11,,,yes
426,31,no,,1113.56,,8,2,,1,427,1,male,,3,3,sales executive,4,divorced,8994.17,23384.83,1,y,,18,,1,full time,1,13,5,3,13,,9,9,8994.17,1992,107930.00,,,yes
427,46,yes,,1032.49,,9,3,marketing,1,428,1,male,,3,3,sales executive,4,divorced,8339.32,21682.23,4,y,no,11,3,1,,1,28,1,4,7,,4,3,8339.32,1977,,,,yes
428,45,no,travel_rarely,1119.55,,20,3,medical,1,429,2,male,,1,3,healthcare representative,1,,9042.5,23510.5,2,y,yes,18,3,2,full time,1,,2,3,7,,0,7,9042.50,1978,108510.00,,,no
429,49,no,travel_rarely,1079.83,,7,4,life sciences,1,430,3,male,134.9781746031746,3,3,healthcare representative,2,divorced,,22676.33,3,y,,14,3,2,full time,2,29,3,3,8,,0,7,,1974,104660.00,,,no
430,29,no,travel_rarely,556.26,,19,3,,1,431,3,male,69.53208262471655,2,2,sales executive,3,,4492.84,11681.39,1,y,,14,3,3,part time,2,10,3,3,10,,0,4,4492.84,1994,53914.11,,,yes
431,29,yes,,243.7,,1,4,technical degree,1,432,1,male,,2,1,research scientist,1,single,,5117.67,6,y,no,13,3,3,part time,0,,2,1,9,,0,7,,1994,23620.00,,,yes
432,29,no,,556.26,,8,1,other,1,433,3,female,,1,2,healthcare representative,1,,,11681.39,3,y,no,13,3,3,part time,1,9,3,3,7,,0,7,,1994,53914.11,,,yes
433,40,no,travel_rarely,1582.77,human resources,6,2,,1,434,3,male,197.8464183087028,3,4,manager,4,single,12783.92,33238.2,1,y,yes,21,4,4,full time,0,21,2,3,21,,7,7,12783.92,1983,153407.07,manager  -  human resources,,yes
434,48,no,,664.34,sales,16,4,life sciences,1,435,3,female,,3,2,sales executive,3,divorced,,13951.17,8,y,no,14,3,3,full time,1,18,2,,8,,7,7,,1975,64390.00,sales executive  -  sales,,yes
435,53,yes,,1032.49,,2,5,,1,436,3,female,,2,3,manufacturing director,4,married,,21682.23,0,y,,16,3,2,part time,1,,4,3,33,,1,9,,1970,100071.84,,,yes
436,44,no,,1973.98,,7,3,medical,1,437,2,female,,3,5,research director,4,,,41453.67,0,y,yes,14,,4,,1,,4,2,22,,1,10,,1979,191324.62,,,no
437,45,no,,595.21,,5,5,,1,438,3,female,74.40178571428571,1,2,laboratory technician,1,,,12499.5,1,y,,14,3,1,full time,0,10,3,3,10,,1,4,,1978,57690.00,,,no
438,45,no,non-travel,452.42,,26,3,marketing,1,439,1,male,,2,2,sales executive,1,,3654.17,9500.83,1,y,,15,,1,,1,10,2,,10,,4,5,3654.17,1978,,,,no
439,34,no,travel_frequently,556.26,,10,4,,1,440,3,male,,4,2,manufacturing director,4,,4492.84,11681.39,1,y,,13,3,1,part time,1,9,3,,9,,7,2,4492.84,1989,53914.11,,,yes
440,39,no,,556.26,research & development,10,5,medical,1,441,2,male,,3,2,manufacturing director,1,,4492.84,11681.39,2,y,,13,3,4,,3,,3,3,7,,7,7,4492.84,1984,,manufacturing director  -  research & development,,no
441,27,no,,419.51,research & development,36,3,,1,442,3,male,,2,1,laboratory technician,1,divorced,3388.33,8809.67,1,y,no,11,3,1,full time,2,7,3,3,7,,0,7,3388.33,1996,40660.00,laboratory technician  -  research & development,,yes
442,45,no,travel_rarely,556.26,,2,2,,1,443,4,female,,2,2,manufacturing director,4,divorced,4492.84,11681.39,1,y,,19,3,1,,2,10,3,3,10,,3,9,4492.84,1978,,,,yes
443,44,no,,556.26,,1,5,,1,444,1,male,,3,2,human resources,4,married,4492.84,11681.39,4,y,yes,11,3,3,,0,14,3,3,10,,0,2,4492.84,1979,,,,yes
444,25,no,,537.13,,2,1,life sciences,1,445,4,male,67.14087301587303,4,2,manufacturing director,3,divorced,4338.33,11279.67,1,y,,17,3,3,part time,2,7,6,3,7,,0,7,4338.33,1998,52060.00,,,no
445,49,no,,1582.77,,1,3,,1,446,3,male,,3,4,manager,3,single,12783.92,33238.2,4,y,,14,3,1,full time,0,23,2,3,8,,0,0,12783.92,1974,153407.07,,,yes
446,48,yes,travel_frequently,273.93,,7,2,,1,447,4,female,,3,1,sales representative,3,,2212.5,5752.5,2,y,,11,,3,,2,19,3,3,9,,7,7,2212.50,1975,,,,no
447,26,no,,265.16,,7,3,medical,1,448,4,male,,3,1,laboratory technician,4,,2141.67,5568.33,1,y,no,20,4,3,part time,0,7,5,3,7,,5,7,2141.67,1997,25700.00,,,yes
448,44,no,travel_rarely,1032.49,,2,3,life sciences,1,449,3,female,129.06091077207583,4,3,healthcare representative,4,,8339.32,21682.23,1,y,,19,,2,part time,1,,2,3,8,,6,7,8339.32,1979,100071.84,,,yes
449,36,no,,464.49,,2,4,,1,450,3,female,58.06150793650794,3,2,sales representative,4,single,3751.67,9754.33,3,y,,15,,3,part time,0,17,2,2,13,,6,7,3751.67,1987,45020.00,,,yes
450,46,no,,556.26,research & development,13,4,,1,451,3,male,69.53208262471655,3,2,healthcare representative,2,single,4492.84,11681.39,6,y,no,14,3,4,part time,0,19,3,3,10,,0,9,4492.84,1977,53914.11,healthcare representative  -  research & development,,yes
451,35,no,,556.26,,27,4,life sciences,1,452,4,male,,3,2,manufacturing director,3,married,4492.84,11681.39,2,y,,16,3,2,part time,1,17,3,3,7,,0,7,4492.84,1988,53914.11,,,yes
452,30,no,travel_frequently,512.57,,2,4,,1,453,4,female,,2,1,research scientist,1,,4140.0,10764.0,0,y,,16,3,4,,0,10,2,,9,,0,7,4140.00,1993,49680.00,,,no
453,30,no,,1032.49,,15,2,marketing,1,454,3,male,,2,3,sales executive,1,,8339.32,21682.23,2,y,no,11,3,1,part time,1,,2,3,7,,1,7,8339.32,1993,100071.84,,,yes
454,33,no,non-travel,531.04,,2,3,marketing,1,455,4,female,,3,2,sales executive,2,,4289.17,11151.83,8,y,no,15,3,4,part time,0,13,2,2,11,,1,7,4289.17,1990,51470.00,,,yes
455,32,no,,280.43,,5,4,,1,456,2,male,35.05357142857143,3,1,research scientist,2,single,2265.0,5889.0,2,y,no,14,3,2,part time,0,12,3,3,7,,0,7,2265.00,1991,27180.00,,,yes
456,43,no,travel_rarely,365.13,,2,3,life sciences,1,457,2,male,,3,1,human resources,4,,2949.17,7667.83,0,y,no,13,3,2,,0,,5,3,9,,1,8,2949.17,1980,,,,no
457,31,no,travel_rarely,564.16,,29,4,marketing,1,458,1,female,,2,2,sales executive,4,,4556.67,11847.33,1,y,,14,3,1,full time,2,,3,3,12,,5,7,4556.67,1992,54680.00,,,yes
458,35,yes,,599.75,,27,3,,1,459,3,male,,3,2,sales executive,4,,4844.17,12594.83,1,y,,18,3,4,,0,,2,3,10,,7,7,4844.17,1988,,,,no
459,35,no,non-travel,556.26,research & development,2,2,medical,1,460,2,male,,3,2,manufacturing director,4,divorced,4492.84,11681.39,2,y,no,14,3,3,,1,15,6,3,7,,1,7,4492.84,1988,53914.11,manufacturing director  -  research & development,,no
460,30,no,,997.39,,10,3,medical,1,461,1,female,,3,3,manufacturing director,3,single,8055.83,20945.17,9,y,no,14,3,2,part time,0,9,3,3,7,,0,2,8055.83,1993,96670.00,,,no
461,46,yes,travel_rarely,556.26,,19,2,medical,1,462,4,female,,3,2,healthcare representative,2,married,4492.84,11681.39,4,y,no,22,4,4,,1,13,2,4,9,7,3,7,4492.84,1977,,,,no
462,45,no,non-travel,531.76,,2,4,,1,463,3,female,,3,2,sales executive,3,married,,11167.0,4,y,,22,4,2,part time,2,10,3,4,8,,5,7,,1978,51540.00,,,no
463,43,no,travel_frequently,585.52,,2,4,life sciences,1,464,1,male,73.18948412698413,3,2,sales executive,4,married,4729.17,12295.83,1,y,,20,4,3,full time,1,7,5,3,7,,7,7,4729.17,1980,56750.00,,,no
464,46,yes,,754.62,,10,3,life sciences,1,465,3,female,,3,3,sales executive,2,,6095.0,15847.0,5,y,,21,4,3,part time,3,14,2,3,8,,0,7,6095.00,1977,73140.00,,,yes
465,40,no,travel_rarely,1582.77,research & development,1,4,,1,466,1,male,,3,4,manager,1,,12783.92,33238.2,2,y,,11,3,1,,1,22,3,,19,,11,16,12783.92,1983,,manager  -  research & development,,yes
466,27,no,travel_rarely,556.26,sales,2,2,,1,467,1,female,,4,2,sales executive,3,single,4492.84,11681.39,0,y,no,14,3,2,part time,0,9,5,2,8,,0,7,4492.84,1996,53914.11,sales executive  -  sales,,no
467,42,no,,1032.49,,6,3,medical,1,468,3,male,,3,3,research director,1,married,8339.32,21682.23,9,y,no,13,3,2,,1,18,3,4,13,,5,7,8339.32,1981,,,,yes
468,26,no,travel_frequently,290.04,,6,3,other,1,469,3,male,36.25443871706758,4,1,laboratory technician,4,married,2342.59,6090.75,0,y,no,18,3,1,part time,1,8,3,3,7,,7,7,2342.59,1997,28111.13,,,yes
469,28,no,travel_frequently,556.26,,1,2,life sciences,1,470,3,male,69.53208262471655,2,2,sales executive,4,married,,11681.39,1,y,,12,3,3,part time,1,7,2,3,7,,0,7,,1995,53914.11,,,yes
470,47,no,,556.26,,14,4,,1,471,3,male,69.53208262471655,3,2,research scientist,2,married,4492.84,11681.39,8,y,,18,3,3,part time,1,,4,4,8,,1,7,4492.84,1976,53914.11,,,no
471,34,no,travel_rarely,1032.49,,13,4,medical,1,472,4,male,,3,3,sales executive,3,divorced,8339.32,21682.23,1,y,no,18,3,3,part time,1,9,2,2,8,,1,1,8339.32,1989,100071.84,,,yes
472,26,no,,290.04,research & development,1,3,medical,1,473,3,male,,3,1,laboratory technician,1,single,2342.59,6090.75,0,y,no,13,3,4,part time,0,8,6,,7,,7,6,2342.59,1997,28111.13,laboratory technician  -  research & development,,yes
473,27,no,travel_rarely,556.26,,9,3,,1,474,4,male,,3,2,sales executive,4,,,11681.39,1,y,,14,3,1,part time,0,,5,,7,,0,7,,1996,53914.11,,,no
474,31,yes,travel_frequently,556.26,sales,26,4,marketing,1,475,1,male,,3,2,sales executive,4,,4492.84,11681.39,1,y,yes,11,3,3,part time,0,10,4,3,10,,0,8,4492.84,1992,53914.11,sales executive  -  sales,,yes
475,33,no,travel_frequently,556.26,,7,2,life sciences,1,476,4,male,,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,y,,20,,3,,3,9,2,3,9,,2,8,4492.84,1990,,,,yes
476,31,no,,1032.49,,10,3,,1,477,3,female,,3,3,research director,3,married,8339.32,21682.23,4,y,no,20,4,3,part time,1,13,2,4,11,,4,8,8339.32,1992,100071.84,,,yes
477,35,no,,525.98,,9,4,medical,1,478,2,male,,3,2,research scientist,3,,,11045.67,1,y,no,19,3,2,part time,0,10,5,3,10,,0,8,,1988,50980.00,,,yes
478,33,no,travel_rarely,556.26,,15,2,,1,479,2,female,,3,2,healthcare representative,4,married,4492.84,11681.39,0,y,yes,13,,1,part time,1,,6,3,9,,8,1,4492.84,1990,53914.11,,,yes
479,39,no,travel_rarely,556.26,,24,1,life sciences,1,480,1,male,,3,2,research scientist,4,single,4492.84,11681.39,7,y,no,13,,1,,0,,2,3,7,,1,7,4492.84,1984,,,,no
480,36,no,travel_rarely,1032.49,,46,3,,1,481,4,female,129.06091077207583,2,3,sales executive,4,married,,21682.23,0,y,no,19,3,3,part time,2,10,2,3,9,,3,4,,1987,100071.84,,,yes
481,41,no,travel_rarely,1400.08,,28,4,life sciences,1,482,1,female,,2,4,manufacturing director,2,married,11308.33,29401.67,0,y,no,23,,3,full time,1,21,3,3,20,,0,10,11308.33,1982,135700.00,,,yes
482,34,no,,692.51,sales,28,3,marketing,1,483,4,female,,2,2,sales executive,3,married,,14542.67,1,y,no,21,4,4,full time,2,8,2,3,8,,1,7,,1989,67120.00,sales executive  -  sales,,no
483,38,no,travel_rarely,556.26,,10,2,,1,484,1,female,,3,2,sales executive,4,married,4492.84,11681.39,1,y,no,11,3,3,,1,10,1,3,10,,1,9,4492.84,1985,,,,yes
484,39,no,travel_rarely,1030.82,,6,1,,1,485,4,male,,2,3,healthcare representative,1,,8325.83,21647.17,4,y,,15,3,1,part time,1,,5,3,7,,1,7,8325.83,1984,99910.00,,,yes
485,34,no,travel_rarely,1032.49,,7,4,,1,486,1,female,,3,3,research director,2,single,,21682.23,0,y,no,11,,3,part time,0,,4,3,12,6,2,11,,1989,100071.84,,,no
486,44,no,travel_rarely,1057.33,,7,4,medical,1,487,1,female,,2,3,healthcare representative,4,married,8540.0,22204.0,3,y,,14,,4,full time,1,24,4,3,22,,5,17,8540.00,1979,102480.00,,,yes
487,46,no,,556.26,,5,4,,1,488,1,male,,3,2,sales executive,4,single,4492.84,11681.39,4,y,,21,,3,part time,0,14,4,3,9,,0,8,4492.84,1977,53914.11,,,yes
488,41,no,travel_frequently,1582.77,research & development,10,3,life sciences,1,489,4,male,197.8464183087028,2,4,manager,1,divorced,,33238.2,4,y,,13,3,2,full time,1,,2,2,7,,7,7,,1982,153407.07,manager  -  research & development,,no
489,39,no,,1128.52,research & development,2,4,,1,490,3,female,,3,3,healthcare representative,3,single,9115.0,23699.0,0,y,no,25,4,4,,0,20,1,3,19,,11,8,9115.00,1984,,healthcare representative  -  research & development,,no
490,42,no,travel_rarely,267.53,,2,3,medical,1,491,4,female,,2,1,laboratory technician,1,divorced,2160.83,5618.17,0,y,yes,11,3,3,part time,1,10,4,3,9,,7,8,2160.83,1981,25930.00,,,yes
491,33,no,travel_frequently,1225.51,research & development,5,4,,1,492,4,female,,3,3,manager,2,married,9898.33,25735.67,6,y,,11,,2,,2,12,2,3,10,,8,8,9898.33,1990,,manager  -  research & development,,yes
492,35,no,travel_rarely,835.2,,5,4,technical degree,1,493,3,male,,3,3,manufacturing director,2,single,6745.83,17539.17,0,y,no,13,3,4,part time,0,17,5,3,16,,0,13,6745.83,1988,80950.00,,,yes
493,33,yes,travel_rarely,1032.49,,15,1,medical,1,494,2,male,,3,3,manager,3,married,,21682.23,7,y,,12,3,4,part time,0,15,2,4,7,,7,7,,1990,100071.84,,,yes
494,40,no,travel_rarely,1582.77,,6,3,life sciences,1,495,2,female,,3,4,manufacturing director,3,single,,33238.2,7,y,no,15,3,3,full time,0,22,3,3,20,,5,13,,1983,153407.07,,,no
495,41,no,travel_rarely,1973.98,,10,4,human resources,1,496,2,male,,2,5,manager,4,divorced,15943.72,41453.67,3,y,no,15,3,2,full time,3,23,2,2,21,,12,6,15943.72,1982,191324.62,,,no
496,27,no,,556.26,,7,3,,1,497,4,female,,2,2,healthcare representative,1,,,11681.39,8,y,no,19,3,1,part time,0,,2,1,7,,0,7,,1996,53914.11,,,no
497,52,no,travel_rarely,1739.11,,3,4,marketing,1,498,3,male,,2,4,manager,1,,14046.67,36521.33,1,y,,11,3,1,full time,0,,3,4,34,,1,16,14046.67,1971,168560.00,,,yes
498,51,no,travel_rarely,1582.77,,26,4,marketing,1,499,1,female,197.8464183087028,3,4,manager,3,married,12783.92,33238.2,2,y,no,14,3,3,full time,1,,2,2,20,,4,17,12783.92,1972,153407.07,,,no
499,47,no,travel_rarely,468.1,,2,2,marketing,1,500,3,female,,3,2,sales executive,4,,3780.83,9830.17,0,y,,22,4,1,part time,1,8,2,3,7,,7,7,3780.83,1976,45370.00,,,yes
500,50,no,non-travel,1849.3,research & development,2,4,,1,501,1,male,,3,4,manager,1,divorced,,38835.33,1,y,,11,3,4,full time,1,31,3,3,31,,14,7,,1973,179240.00,manager  -  research & development,,no
501,35,no,travel_rarely,414.14,research & development,21,1,life sciences,1,502,4,female,,3,2,healthcare representative,4,married,3345.0,8697.0,1,y,,25,4,4,part time,1,10,2,1,10,,0,7,3345.00,1988,40140.00,healthcare representative  -  research & development,,yes
502,39,no,travel_rarely,1314.65,,1,1,,1,503,4,female,164.33134920634922,2,4,manufacturing director,4,married,10618.33,27607.67,1,y,no,16,3,3,full time,1,,3,3,21,,11,8,10618.33,1984,127420.00,,,yes
503,39,no,travel_frequently,1032.49,,22,3,medical,1,504,4,female,,3,3,manufacturing director,1,single,8339.32,21682.23,1,y,,13,3,3,part time,0,,2,3,21,,2,8,8339.32,1984,100071.84,,,no
504,41,no,,348.32,,7,2,,1,505,2,female,43.53968253968255,4,1,research scientist,3,,,7314.67,1,y,no,13,3,3,full time,0,,3,3,10,,0,8,,1982,33760.00,,,no
505,44,yes,,1081.48,human resources,1,2,medical,1,506,2,male,,2,3,human resources,1,married,8735.0,22711.0,9,y,no,14,,4,full time,1,24,1,3,20,,3,6,8735.00,1979,104820.00,human resources  -  human resources,,yes
506,42,no,,1582.77,,2,2,medical,1,507,4,male,,3,4,manager,1,,12783.92,33238.2,0,y,no,17,3,4,,1,23,3,3,22,,13,7,12783.92,1981,,,,no
507,52,no,travel_rarely,1032.49,,7,4,life sciences,1,508,2,male,,3,3,healthcare representative,2,single,,21682.23,7,y,,19,3,4,part time,0,18,4,,8,,4,0,,1971,100071.84,,,yes
508,38,no,,290.04,,1,3,,1,509,3,male,36.25443871706758,4,1,human resources,3,,2342.59,6090.75,1,y,no,13,3,4,part time,1,7,2,4,7,,5,0,2342.59,1985,28111.13,,,yes
509,46,no,,290.04,human resources,1,2,life sciences,1,510,4,female,36.25443871706758,3,1,human resources,1,,,6090.75,6,y,,12,3,3,part time,0,10,3,4,7,,5,7,,1977,28111.13,human resources  -  human resources,,yes
510,35,no,,438.39,,4,4,life sciences,1,511,3,male,54.79861111111112,3,2,research scientist,3,single,3540.83,9206.17,1,y,,11,3,2,part time,0,,3,3,9,,1,1,3540.83,1988,42490.00,,,no
511,28,no,travel_rarely,675.69,research & development,29,1,life sciences,1,512,3,male,,1,2,manufacturing director,2,married,5457.5,14189.5,1,y,,14,,2,,2,8,2,2,8,,1,7,5457.50,1995,,manufacturing director  -  research & development,,yes
512,44,no,,1582.77,,28,3,life sciences,1,513,4,male,,3,4,research director,1,married,12783.92,33238.2,3,y,no,13,3,3,,1,,1,4,20,,14,17,12783.92,1979,,,,yes
513,50,no,,1486.85,,22,5,,1,514,3,male,,1,4,research director,4,,12009.17,31223.83,1,y,,13,3,4,,0,,2,3,32,,13,9,12009.17,1973,,,,no
514,55,no,travel_rarely,2020.78,,23,5,marketing,1,515,3,male,252.59722222222223,2,5,manager,4,,,42436.33,1,y,no,21,4,3,full time,1,36,3,3,36,,2,13,,1968,195860.00,,,yes
515,39,no,,849.85,sales,6,3,,1,516,4,male,,4,3,sales executive,3,married,6864.17,17846.83,2,y,no,11,3,1,part time,1,11,3,3,7,,7,6,6864.17,1984,82370.00,sales executive  -  sales,,yes
516,49,no,,331.29,research & development,13,4,,1,517,1,female,,3,1,laboratory technician,1,,2675.83,6957.17,1,y,,14,3,4,,1,10,3,2,9,,1,4,2675.83,1974,,laboratory technician  -  research & development,,yes
517,45,no,,1723.43,,28,2,technical degree,1,518,4,female,,2,4,research director,2,single,13920.0,36192.0,1,y,,11,,3,,0,21,2,3,21,6,8,6,13920.00,1978,,,,no
518,46,no,,1032.49,,2,3,,1,519,3,male,,3,3,sales executive,4,,8339.32,21682.23,4,y,,12,3,2,part time,1,,5,2,10,,0,3,8339.32,1977,100071.84,,,no
519,27,no,,492.56,,15,3,,1,520,4,female,,2,1,research scientist,1,married,,10343.67,0,y,no,19,3,4,full time,1,,2,,7,,7,3,,1996,47740.00,,,no
520,42,no,travel_rarely,1973.98,,2,3,,1,521,1,male,,3,5,manager,3,married,15943.72,41453.67,5,y,,11,3,1,,0,24,2,2,22,,4,14,15943.72,1981,,,,yes
521,49,no,,556.26,sales,2,3,,1,522,4,male,,2,2,sales executive,2,married,,11681.39,2,y,,14,3,4,part time,0,17,3,2,9,,0,8,,1974,53914.11,sales executive  -  sales,,yes
522,29,no,travel_rarely,556.26,,15,2,life sciences,1,523,4,female,,2,2,laboratory technician,3,single,,11681.39,0,y,yes,12,3,4,part time,0,10,3,3,9,,0,8,,1994,53914.11,,,yes
523,34,no,non-travel,471.3,,12,4,marketing,1,524,1,male,,3,2,sales executive,3,,3806.67,9897.33,0,y,no,20,4,3,part time,0,,2,3,9,,8,7,3806.67,1989,45680.00,,,no
524,37,no,,618.33,,1,4,,1,525,1,male,,2,2,manufacturing director,3,divorced,4994.17,12984.83,1,y,no,18,3,3,,1,,2,,7,,0,7,4994.17,1986,59930.00,,,no
525,36,no,,670.53,,11,3,,1,526,2,male,83.81646825396827,2,2,manufacturing director,2,single,5415.83,14081.17,1,y,no,13,3,3,full time,0,6,3,3,6,,0,3,5415.83,1987,64990.00,,,yes
526,45,no,,356.16,,29,3,,1,527,3,male,,3,1,research scientist,4,single,,7479.33,5,y,,13,3,2,full time,0,9,2,2,6,,0,3,,1978,34520.00,,,yes
527,29,no,travel_rarely,290.04,,15,3,,1,528,3,male,,3,1,research scientist,4,,,6090.75,1,y,no,19,3,1,part time,0,6,1,3,6,,1,5,,1994,28111.13,,,no
528,26,no,,660.01,,1,3,,1,529,3,female,,3,2,manufacturing director,2,,5330.83,13860.17,1,y,no,20,4,1,full time,1,6,6,1,6,,1,4,5330.83,1997,63970.00,,,no
529,28,no,,556.26,,9,4,life sciences,1,530,2,male,,3,2,sales executive,4,single,,11681.39,1,y,no,16,3,4,part time,0,,1,3,7,,0,7,,1995,53914.11,,,yes
530,42,no,travel_frequently,556.26,,30,4,technical degree,1,531,4,female,,2,2,healthcare representative,4,married,,11681.39,0,y,no,11,3,4,,3,7,4,4,6,,0,4,,1981,53914.11,,,yes
531,31,no,travel_rarely,556.26,sales,2,1,life sciences,1,532,2,male,,3,2,sales executive,4,,,11681.39,4,y,yes,13,3,3,part time,0,10,2,4,6,,0,5,,1992,53914.11,sales executive  -  sales,,yes
532,37,no,travel_rarely,1032.49,,47,3,,1,533,4,female,,3,3,manufacturing director,4,single,8339.32,21682.23,4,y,,17,3,4,part time,0,,3,4,6,,1,2,8339.32,1986,100071.84,,,yes
533,37,no,non-travel,1032.49,,9,4,,1,534,1,male,,3,3,sales executive,2,divorced,,21682.23,1,y,no,13,3,4,part time,1,9,6,3,9,,7,7,,1986,100071.84,,,no
534,37,no,travel_rarely,556.26,,1,4,life sciences,1,535,2,female,69.53208262471655,3,2,manufacturing director,2,married,4492.84,11681.39,6,y,,12,3,2,part time,1,8,2,2,6,,4,3,4492.84,1986,53914.11,,,no
535,24,no,travel_rarely,281.15,,23,3,medical,1,536,2,male,,4,1,research scientist,4,,,5904.17,1,y,,11,3,2,part time,2,,3,3,6,,1,4,,1999,27250.00,,,yes
536,50,no,,1973.98,,3,3,,1,537,1,male,,3,5,manager,2,married,15943.72,41453.67,1,y,no,11,3,3,,1,,2,3,32,,10,7,15943.72,1973,,,,no
537,34,no,,373.7,,1,2,life sciences,1,538,2,male,46.71230158730159,2,1,research scientist,4,,3018.33,7847.67,1,y,yes,13,3,4,full time,1,6,3,3,6,,1,3,3018.33,1989,36220.00,,,yes
538,27,no,travel_frequently,556.26,,3,1,medical,1,539,4,female,,4,2,sales executive,4,,,11681.39,1,y,,20,,2,,2,,3,3,6,,0,4,,1996,53914.11,,,no
