environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate
4,male,67.14,4,2,manufacturing director,3,divorced,4338.33,11279.67
3,male,197.85,3,4,manager,3,single,12783.92,33238.2
4,female,34.24,3,1,sales representative,3,,2212.5,5752.5
4,male,33.14,3,1,laboratory technician,4,,2141.67,5568.33
3,female,129.06,4,3,healthcare representative,4,,8339.32,21682.23
3,female,58.06,3,2,sales representative,4,single,3751.67,9754.33
3,male,69.53,3,2,healthcare representative,2,single,4492.84,11681.39
4,male,69.53,3,2,manufacturing director,3,married,4492.84,11681.39
4,female,64.07,2,1,research scientist,1,,4140.0,10764.0
3,male,129.06,2,3,sales executive,1,,8339.32,21682.23
4,female,66.38,3,2,sales executive,2,,4289.17,11151.83
2,male,35.05,3,1,research scientist,2,single,2265.0,5889.0
2,male,45.64,3,1,human resources,4,,2949.17,7667.83
1,female,70.52,2,2,sales executive,4,,4556.67,11847.33
3,male,74.97,3,2,sales executive,4,,4844.17,12594.83
2,male,69.53,3,2,manufacturing director,4,divorced,4492.84,11681.39
1,female,124.67,3,3,manufacturing director,3,single,8055.83,20945.17
4,female,69.53,3,2,healthcare representative,2,married,4492.84,11681.39
3,female,66.47,3,2,sales executive,3,married,4295.0,11167.0
1,male,73.19,3,2,sales executive,4,married,4729.17,12295.83
3,female,94.33,3,3,sales executive,2,,6095.0,15847.0
1,male,197.85,3,4,manager,1,,12783.92,33238.2
1,female,69.53,4,2,sales executive,3,single,4492.84,11681.39
3,male,129.06,3,3,research director,1,married,8339.32,21682.23
3,male,36.25,4,1,laboratory technician,4,married,2342.59,6090.75
3,male,69.53,2,2,sales executive,4,married,4492.84,11681.39
3,male,69.53,3,2,research scientist,2,married,4492.84,11681.39
4,male,129.06,3,3,sales executive,3,divorced,8339.32,21682.23
3,male,36.25,3,1,laboratory technician,1,single,2342.59,6090.75
4,male,69.53,3,2,sales executive,4,,4492.84,11681.39
1,male,69.53,3,2,sales executive,4,,4492.84,11681.39
4,male,69.53,3,2,healthcare representative,3,divorced,4492.84,11681.39
3,female,129.06,3,3,research director,3,married,8339.32,21682.23
2,male,65.75,3,2,research scientist,3,,4248.33,11045.67
2,female,69.53,3,2,healthcare representative,4,married,4492.84,11681.39
1,male,69.53,3,2,research scientist,4,single,4492.84,11681.39
4,female,129.06,2,3,sales executive,4,married,8339.32,21682.23
1,female,175.01,2,4,manufacturing director,2,married,11308.33,29401.67
4,female,86.56,2,2,sales executive,3,married,5593.33,14542.67
1,female,69.53,3,2,sales executive,4,married,4492.84,11681.39
4,male,128.85,2,3,healthcare representative,1,,8325.83,21647.17
1,female,129.06,3,3,research director,2,single,8339.32,21682.23
1,female,132.17,2,3,healthcare representative,4,married,8540.0,22204.0
1,male,69.53,3,2,sales executive,4,single,4492.84,11681.39
4,male,197.85,2,4,manager,1,divorced,12783.92,33238.2
3,female,141.07,3,3,healthcare representative,3,single,9115.0,23699.0
4,female,33.44,2,1,laboratory technician,1,divorced,2160.83,5618.17
4,female,153.19,3,3,manager,2,married,9898.33,25735.67
3,male,104.4,3,3,manufacturing director,2,single,6745.83,17539.17
2,male,129.06,3,3,manager,3,married,8339.32,21682.23
2,female,197.85,3,4,manufacturing director,3,single,12783.92,33238.2
2,male,246.75,2,5,manager,4,divorced,15943.72,41453.67
4,female,69.53,2,2,healthcare representative,1,,4492.84,11681.39
3,male,217.39,2,4,manager,1,,14046.67,36521.33
1,female,197.85,3,4,manager,3,married,12783.92,33238.2
3,female,58.51,3,2,sales executive,4,,3780.83,9830.17
1,male,231.16,3,4,manager,1,divorced,14936.67,38835.33
4,female,51.77,3,2,healthcare representative,4,married,3345.0,8697.0
4,female,164.33,2,4,manufacturing director,4,married,10618.33,27607.67
4,female,129.06,3,3,manufacturing director,1,single,8339.32,21682.23
2,female,43.54,4,1,research scientist,3,,2813.33,7314.67
2,male,135.18,2,3,human resources,1,married,8735.0,22711.0
4,male,197.85,3,4,manager,1,,12783.92,33238.2
2,male,129.06,3,3,healthcare representative,2,single,8339.32,21682.23
3,male,36.25,4,1,human resources,3,,2342.59,6090.75
4,female,36.25,3,1,human resources,1,,2342.59,6090.75
3,male,54.8,3,2,research scientist,3,single,3540.83,9206.17
3,male,84.46,1,2,manufacturing director,2,married,5457.5,14189.5
4,male,197.85,3,4,research director,1,married,12783.92,33238.2
3,male,185.86,1,4,research director,4,,12009.17,31223.83
3,male,252.6,2,5,manager,4,,16321.67,42436.33
4,male,106.23,4,3,sales executive,3,married,6864.17,17846.83
1,female,41.41,3,1,laboratory technician,1,,2675.83,6957.17
4,female,215.43,2,4,research director,2,single,13920.0,36192.0
3,male,129.06,3,3,sales executive,4,,8339.32,21682.23
4,female,61.57,2,1,research scientist,1,married,3978.33,10343.67
1,male,246.75,3,5,manager,3,married,15943.72,41453.67
4,male,69.53,2,2,sales executive,2,married,4492.84,11681.39
4,female,69.53,2,2,laboratory technician,3,single,4492.84,11681.39
1,male,58.91,3,2,sales executive,3,,3806.67,9897.33
1,male,77.29,2,2,manufacturing director,3,divorced,4994.17,12984.83
2,male,83.82,2,2,manufacturing director,2,single,5415.83,14081.17
3,male,44.52,3,1,research scientist,4,single,2876.67,7479.33
3,male,36.25,3,1,research scientist,4,,2342.59,6090.75
3,female,82.5,3,2,manufacturing director,2,,5330.83,13860.17
2,male,69.53,3,2,sales executive,4,single,4492.84,11681.39
4,female,69.53,2,2,healthcare representative,4,married,4492.84,11681.39
2,male,69.53,3,2,sales executive,4,,4492.84,11681.39
4,female,129.06,3,3,manufacturing director,4,single,8339.32,21682.23
1,male,129.06,3,3,sales executive,2,divorced,8339.32,21682.23
2,female,69.53,3,2,manufacturing director,2,married,4492.84,11681.39
2,male,35.14,4,1,research scientist,4,,2270.83,5904.17
1,male,246.75,3,5,manager,2,married,15943.72,41453.67
2,male,46.71,2,1,research scientist,4,,3018.33,7847.67
4,female,69.53,4,2,sales executive,4,,4492.84,11681.39
4,female,79.7,3,2,sales executive,4,single,5150.0,13390.0
4,male,80.91,3,2,sales executive,4,single,5228.33,13593.67
3,female,56.5,2,1,research scientist,1,,3650.83,9492.17
3,male,129.06,3,3,manufacturing director,3,single,8339.32,21682.23
1,female,33.0,2,1,research scientist,1,,2132.5,5544.5
3,female,70.78,4,2,healthcare representative,2,married,4573.33,11890.67
3,female,32.42,3,1,research scientist,4,divorced,2095.0,5447.0
4,female,36.25,3,1,research scientist,2,divorced,2342.59,6090.75
2,female,69.53,3,2,sales executive,3,married,4492.84,11681.39
4,male,41.22,2,1,laboratory technician,1,married,2663.33,6924.67
1,female,36.25,4,1,research scientist,4,married,2342.59,6090.75
3,male,69.53,3,2,healthcare representative,1,married,4492.84,11681.39
3,male,36.25,3,1,research scientist,4,,2342.59,6090.75
1,male,44.11,3,1,research scientist,4,,2850.0,7410.0
3,male,36.25,4,1,laboratory technician,3,single,2342.59,6090.75
4,male,52.71,3,2,research scientist,1,married,3405.83,8855.17
4,male,69.53,3,2,research scientist,2,divorced,4492.84,11681.39
3,female,69.23,3,2,sales executive,4,,4473.33,11630.67
3,male,166.83,1,4,sales executive,3,married,10780.0,28028.0
2,female,69.53,3,2,sales executive,4,,4492.84,11681.39
1,male,36.25,4,1,laboratory technician,2,married,2342.59,6090.75
3,male,36.25,3,1,research scientist,2,married,2342.59,6090.75
2,male,69.53,3,2,research scientist,2,,4492.84,11681.39
2,male,36.25,2,1,research scientist,3,single,2342.59,6090.75
4,male,129.06,1,3,manufacturing director,4,,8339.32,21682.23
2,male,54.44,3,2,sales executive,3,,3517.5,9145.5
3,male,69.53,2,2,sales executive,3,single,4492.84,11681.39
2,female,64.01,3,1,research scientist,2,,4135.83,10753.17
3,female,36.25,2,1,research scientist,2,married,2342.59,6090.75
1,female,54.17,3,1,laboratory technician,1,,3500.0,9100.0
1,female,36.25,3,1,research scientist,3,single,2342.59,6090.75
3,female,246.75,3,5,manager,2,,15943.72,41453.67
3,male,36.25,3,1,research scientist,3,,2342.59,6090.75
3,female,64.56,3,2,sales executive,1,,4171.67,10846.33
4,male,36.25,4,1,research scientist,4,divorced,2342.59,6090.75
2,female,98.52,3,3,sales executive,4,married,6365.83,16551.17
3,male,69.53,1,2,manufacturing director,3,,4492.84,11681.39
3,male,36.25,3,1,laboratory technician,4,married,2342.59,6090.75
3,male,36.25,2,1,laboratory technician,2,,2342.59,6090.75
3,male,83.86,3,2,sales executive,4,,5418.33,14087.67
1,male,246.75,3,5,research director,2,divorced,15943.72,41453.67
3,female,174.43,3,4,sales executive,2,married,11270.83,29304.17
4,male,69.53,3,2,sales executive,3,,4492.84,11681.39
3,male,81.88,3,2,sales executive,2,,5290.83,13756.17
4,male,69.53,2,2,manufacturing director,2,single,4492.84,11681.39
3,female,36.25,3,1,laboratory technician,1,,2342.59,6090.75
2,male,82.28,2,2,sales executive,3,,5316.67,13823.33
3,female,197.85,3,4,manager,4,single,12783.92,33238.2
3,male,40.01,3,1,research scientist,1,,2585.0,6721.0
4,female,69.53,3,2,sales executive,2,divorced,4492.84,11681.39
2,female,69.53,2,2,sales executive,4,single,4492.84,11681.39
2,female,69.53,3,2,sales executive,3,single,4492.84,11681.39
4,male,129.06,2,3,manufacturing director,3,married,8339.32,21682.23
1,female,58.76,3,2,research scientist,3,,3796.67,9871.33
3,female,69.53,1,2,manufacturing director,4,,4492.84,11681.39
4,male,54.55,1,1,laboratory technician,3,single,3525.0,9165.0
3,male,129.06,2,3,manager,4,divorced,8339.32,21682.23
1,female,62.67,3,2,sales executive,3,single,4049.17,10527.83
2,male,36.25,3,1,sales representative,3,,2342.59,6090.75
1,female,81.53,3,2,research scientist,4,married,5268.33,13697.67
2,female,69.53,4,2,sales executive,3,,4492.84,11681.39
2,male,36.25,2,1,research scientist,4,divorced,2342.59,6090.75
4,male,138.78,3,3,sales executive,1,divorced,8967.5,23315.5
1,male,36.25,2,1,human resources,1,,2342.59,6090.75
4,male,36.25,3,1,research scientist,4,,2342.59,6090.75
3,female,38.34,3,1,sales representative,4,married,2477.5,6441.5
4,female,67.12,2,2,human resources,4,,4336.67,11275.33
3,female,69.53,2,2,sales executive,3,,4492.84,11681.39
3,male,129.06,3,3,sales executive,3,,8339.32,21682.23
4,male,224.39,3,4,research director,4,divorced,14499.17,37697.83
2,male,129.06,3,3,manager,4,,8339.32,21682.23
3,female,129.06,2,3,sales executive,3,married,8339.32,21682.23
1,female,36.25,3,1,research scientist,3,married,2342.59,6090.75
1,male,217.76,4,4,manager,4,single,14070.83,36584.17
3,male,69.53,3,2,laboratory technician,2,single,4492.84,11681.39
3,male,55.75,3,1,human resources,3,,3602.5,9366.5
2,male,66.48,3,2,sales executive,1,single,4295.83,11169.17
3,male,37.87,3,1,research scientist,3,single,2446.67,6361.33
2,female,36.25,1,1,research scientist,4,married,2342.59,6090.75
2,male,36.25,3,1,human resources,3,,2342.59,6090.75
4,female,129.06,3,3,manufacturing director,3,,8339.32,21682.23
4,female,242.32,2,5,manager,2,married,15657.5,40709.5
3,female,69.53,3,2,manufacturing director,3,single,4492.84,11681.39
4,male,62.98,3,2,laboratory technician,3,,4069.17,10579.83
4,male,129.06,2,3,sales executive,2,single,8339.32,21682.23
1,female,26.17,2,1,research scientist,3,divorced,1690.83,4396.17
1,male,69.53,2,2,sales executive,4,married,4492.84,11681.39
3,male,38.64,3,1,research scientist,3,married,2496.67,6491.33
4,male,69.53,3,2,sales executive,4,married,4492.84,11681.39
3,male,129.06,3,3,healthcare representative,3,,8339.32,21682.23
3,female,36.25,3,1,laboratory technician,1,married,2342.59,6090.75
1,female,119.66,3,2,sales executive,2,single,7731.67,20102.33
4,male,69.53,2,2,laboratory technician,4,single,4492.84,11681.39
4,female,53.68,3,2,sales executive,3,married,3468.33,9017.67
4,female,36.25,2,1,laboratory technician,2,,2342.59,6090.75
4,male,69.53,3,2,sales executive,1,single,4492.84,11681.39
1,female,36.25,2,1,laboratory technician,2,,2342.59,6090.75
3,female,69.53,3,2,sales executive,3,married,4492.84,11681.39
4,male,36.25,3,1,laboratory technician,1,single,2342.59,6090.75
4,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
1,male,69.53,3,2,sales executive,1,,4492.84,11681.39
1,male,114.18,3,2,healthcare representative,4,,7377.5,19181.5
4,female,69.53,3,2,sales executive,1,married,4492.84,11681.39
4,male,62.88,4,1,laboratory technician,2,divorced,4063.33,10564.67
2,male,27.61,2,1,research scientist,2,,1784.17,4638.83
4,female,100.03,2,3,manufacturing director,3,,6463.33,16804.67
2,female,50.76,3,1,research scientist,2,married,3280.0,8528.0
4,male,69.53,3,2,manufacturing director,2,,4492.84,11681.39
1,male,88.24,4,2,healthcare representative,1,divorced,5701.67,14824.33
4,male,51.45,2,1,laboratory technician,3,single,3324.17,8642.83
1,male,63.58,2,1,research scientist,4,,4108.33,10681.67
4,female,69.53,3,2,manufacturing director,4,single,4492.84,11681.39
4,female,47.74,2,1,laboratory technician,3,married,3085.0,8021.0
2,male,34.89,1,1,laboratory technician,3,married,2254.17,5860.83
2,female,57.37,3,2,healthcare representative,1,,3706.67,9637.33
4,female,30.68,3,1,laboratory technician,4,single,1982.5,5154.5
3,female,69.53,3,2,sales executive,2,,4492.84,11681.39
2,male,70.76,3,2,sales executive,3,single,4572.5,11888.5
2,male,246.75,3,5,research director,4,married,15943.72,41453.67
1,male,36.24,4,1,laboratory technician,2,,2341.67,6088.33
3,male,115.27,2,2,sales executive,2,divorced,7448.33,19365.67
4,female,36.25,2,1,research scientist,1,single,2342.59,6090.75
2,male,128.14,3,2,manufacturing director,1,,8280.0,21528.0
3,male,36.25,2,1,sales representative,1,single,2342.59,6090.75
4,female,36.25,4,1,research scientist,3,,2342.59,6090.75
1,female,69.53,4,2,sales executive,1,married,4492.84,11681.39
2,female,70.34,3,2,sales executive,1,,4545.0,11817.0
4,female,69.53,3,2,laboratory technician,4,single,4492.84,11681.39
2,female,241.69,2,5,research director,3,divorced,15616.67,40603.33
1,female,70.58,2,2,sales executive,3,single,4560.83,11858.17
3,male,174.15,2,4,healthcare representative,2,married,11252.5,29256.5
1,female,174.74,3,3,research director,3,,11290.83,29356.17
1,female,234.36,3,5,research director,2,,15143.33,39372.67
4,female,197.85,4,4,manager,4,single,12783.92,33238.2
2,male,35.78,3,1,laboratory technician,3,married,2311.67,6010.33
3,male,129.06,3,3,sales executive,4,,8339.32,21682.23
2,male,36.25,2,1,laboratory technician,4,single,2342.59,6090.75
1,female,36.25,3,1,sales representative,3,,2342.59,6090.75
3,male,121.73,4,3,healthcare representative,4,divorced,7865.83,20451.17
1,female,69.53,2,2,sales executive,4,single,4492.84,11681.39
2,female,36.25,3,1,sales representative,2,,2342.59,6090.75
3,female,67.9,3,2,manufacturing director,3,divorced,4387.5,11407.5
4,male,49.2,3,1,research scientist,3,divorced,3179.17,8265.83
3,female,69.53,2,2,sales executive,1,,4492.84,11681.39
1,male,30.81,2,1,research scientist,4,single,1990.83,5176.17
3,female,36.25,3,1,sales representative,2,married,2342.59,6090.75
2,male,51.59,4,2,healthcare representative,1,,3333.33,8666.67
3,male,226.78,3,4,research director,3,married,14653.33,38098.67
1,male,69.53,3,2,healthcare representative,1,married,4492.84,11681.39
4,female,36.25,3,1,research scientist,4,,2342.59,6090.75
2,male,73.01,4,2,healthcare representative,1,single,4717.5,12265.5
4,male,69.53,1,2,healthcare representative,3,divorced,4492.84,11681.39
3,female,36.25,3,1,research scientist,2,single,2342.59,6090.75
4,female,62.79,3,2,research scientist,3,,4057.5,10549.5
4,male,69.53,1,2,sales executive,4,married,4492.84,11681.39
4,male,59.96,3,2,sales executive,3,,3874.17,10072.83
4,male,135.37,2,3,healthcare representative,4,,8746.67,22741.33
1,female,36.25,3,1,sales representative,2,single,2342.59,6090.75
3,male,36.25,3,1,laboratory technician,4,married,2342.59,6090.75
4,male,35.7,2,1,research scientist,3,,2306.67,5997.33
1,male,43.95,1,1,laboratory technician,4,divorced,2840.0,7384.0
2,male,129.06,3,3,sales executive,4,single,8339.32,21682.23
4,male,69.53,3,2,sales executive,4,single,4492.84,11681.39
3,female,48.43,3,1,laboratory technician,3,married,3129.17,8135.83
1,male,69.53,3,2,sales executive,2,married,4492.84,11681.39
1,female,36.25,3,1,laboratory technician,3,,2342.59,6090.75
1,female,28.21,2,1,research scientist,3,divorced,1822.5,4738.5
3,male,36.25,3,1,sales representative,1,divorced,2342.59,6090.75
2,male,69.53,3,2,sales executive,3,married,4492.84,11681.39
2,male,36.25,3,1,laboratory technician,1,,2342.59,6090.75
3,female,69.53,4,2,human resources,2,,4492.84,11681.39
4,male,54.91,3,1,research scientist,4,,3548.33,9225.67
4,male,68.69,2,2,sales executive,1,single,4438.33,11539.67
4,female,70.74,3,2,manufacturing director,1,divorced,4570.83,11884.17
4,female,35.88,3,1,research scientist,1,divorced,2318.33,6027.67
3,male,227.49,3,4,research director,3,,14699.17,38217.83
4,female,78.18,2,2,manufacturing director,4,married,5051.67,13134.33
1,male,81.1,2,2,healthcare representative,1,,5240.0,13624.0
1,male,44.16,4,1,research scientist,1,single,2853.33,7418.67
3,female,69.53,4,2,research scientist,3,married,4492.84,11681.39
3,male,54.09,3,2,sales executive,1,,3495.0,9087.0
3,female,69.53,4,2,laboratory technician,4,married,4492.84,11681.39
4,male,36.25,3,1,human resources,2,divorced,2342.59,6090.75
1,female,32.65,2,1,laboratory technician,4,,2110.0,5486.0
3,female,73.07,3,2,sales executive,4,,4721.67,12276.33
4,female,36.25,3,1,laboratory technician,4,divorced,2342.59,6090.75
3,female,69.53,3,2,manufacturing director,1,,4492.84,11681.39
2,male,36.25,1,1,laboratory technician,1,,2342.59,6090.75
3,female,177.02,2,4,manufacturing director,4,,11438.33,29739.67
4,female,197.85,3,4,manager,4,married,12783.92,33238.2
2,male,36.25,3,1,human resources,2,,2342.59,6090.75
4,female,52.97,3,2,healthcare representative,2,,3422.5,8898.5
1,female,36.25,2,1,research scientist,3,,2342.59,6090.75
1,male,36.25,2,1,laboratory technician,1,married,2342.59,6090.75
4,male,36.25,2,1,research scientist,2,married,2342.59,6090.75
4,male,46.39,3,1,laboratory technician,2,single,2997.5,7793.5
3,male,69.53,2,2,sales executive,3,married,4492.84,11681.39
1,female,69.53,1,2,sales executive,3,single,4492.84,11681.39
3,male,53.07,3,2,sales executive,1,divorced,3429.17,8915.83
4,male,69.53,3,2,manufacturing director,4,divorced,4492.84,11681.39
4,male,80.89,4,2,human resources,1,married,5226.67,13589.33
3,male,69.53,3,2,sales executive,4,single,4492.84,11681.39
1,male,32.46,3,1,research scientist,3,divorced,2097.5,5453.5
4,male,246.75,3,5,manager,2,single,15943.72,41453.67
3,female,69.53,3,2,sales executive,1,,4492.84,11681.39
3,male,69.53,2,2,sales executive,1,married,4492.84,11681.39
4,female,197.85,4,4,manufacturing director,3,married,12783.92,33238.2
1,male,50.35,2,1,research scientist,4,single,3253.33,8458.67
1,male,69.53,2,2,laboratory technician,1,,4492.84,11681.39
4,male,36.25,3,1,research scientist,1,,2342.59,6090.75
4,male,118.7,3,2,sales executive,4,,7670.0,19942.0
4,male,56.4,3,2,sales executive,1,,3644.17,9474.83
1,female,69.53,3,2,sales executive,2,single,4492.84,11681.39
3,male,26.62,3,1,human resources,3,,1720.0,4472.0
1,male,69.53,3,2,laboratory technician,3,single,4492.84,11681.39
4,male,69.53,2,2,manufacturing director,2,,4492.84,11681.39
2,female,31.34,2,1,sales representative,3,married,2025.0,5265.0
3,male,69.53,3,2,human resources,3,,4492.84,11681.39
2,female,62.9,1,2,manufacturing director,1,divorced,4064.17,10566.83
3,male,69.53,3,2,manufacturing director,3,,4492.84,11681.39
1,female,48.49,3,1,research scientist,4,,3133.33,8146.67
1,male,25.96,3,1,laboratory technician,2,,1677.5,4361.5
4,female,36.25,2,1,laboratory technician,2,,2342.59,6090.75
2,male,129.06,4,3,healthcare representative,4,married,8339.32,21682.23
3,male,69.53,1,2,sales executive,4,,4492.84,11681.39
3,male,36.25,4,1,research scientist,3,married,2342.59,6090.75
4,female,38.36,3,1,laboratory technician,3,,2478.33,6443.67
4,male,129.06,1,3,sales executive,3,married,8339.32,21682.23
2,male,35.67,3,1,laboratory technician,2,divorced,2305.0,5993.0
3,male,36.25,3,1,laboratory technician,1,divorced,2342.59,6090.75
3,male,36.25,3,1,research scientist,2,,2342.59,6090.75
3,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
3,male,129.06,3,3,research director,3,single,8339.32,21682.23
3,female,43.55,3,1,laboratory technician,1,married,2814.17,7316.83
4,male,54.33,3,2,manufacturing director,1,single,3510.83,9128.17
3,female,84.0,3,2,healthcare representative,4,,5427.5,14111.5
3,male,69.53,3,2,sales executive,4,,4492.84,11681.39
3,male,36.25,3,1,research scientist,3,married,2342.59,6090.75
3,male,129.06,3,3,sales executive,4,married,8339.32,21682.23
4,male,55.25,3,2,research scientist,1,,3570.0,9282.0
2,male,28.71,3,1,research scientist,2,,1855.0,4823.0
2,male,71.72,3,2,sales executive,1,,4634.17,12048.83
3,male,27.65,3,1,research scientist,3,single,1786.67,4645.33
1,male,69.29,3,2,healthcare representative,1,married,4477.5,11641.5
1,female,37.36,3,2,research scientist,3,married,2414.17,6276.83
4,male,69.53,2,2,healthcare representative,3,single,4492.84,11681.39
1,male,68.62,2,2,manufacturing director,3,married,4434.17,11528.83
4,male,69.77,3,2,research scientist,1,,4508.33,11721.67
4,male,35.88,3,1,research scientist,4,,2318.33,6027.67
1,female,69.53,3,2,sales executive,3,,4492.84,11681.39
2,male,36.25,3,1,research scientist,4,single,2342.59,6090.75
2,male,69.53,3,2,sales executive,3,,4492.84,11681.39
2,female,69.53,2,2,sales executive,4,married,4492.84,11681.39
4,female,62.55,3,2,sales executive,3,,4041.67,10508.33
3,female,25.81,3,1,research scientist,3,married,1667.5,4335.5
3,female,36.25,1,1,research scientist,4,married,2342.59,6090.75
4,male,69.53,2,2,laboratory technician,2,,4492.84,11681.39
2,male,56.8,4,2,laboratory technician,3,,3670.0,9542.0
1,male,36.25,3,1,laboratory technician,2,married,2342.59,6090.75
1,male,36.25,3,1,research scientist,3,divorced,2342.59,6090.75
2,male,36.25,3,1,laboratory technician,4,divorced,2342.59,6090.75
3,male,36.25,2,1,laboratory technician,3,single,2342.59,6090.75
1,male,36.25,4,1,research scientist,2,divorced,2342.59,6090.75
4,male,50.87,3,1,research scientist,4,single,3286.67,8545.33
1,female,69.53,4,2,manufacturing director,3,,4492.84,11681.39
2,male,38.17,3,1,research scientist,1,single,2466.67,6413.33
2,female,36.25,1,1,research scientist,1,,2342.59,6090.75
2,female,244.36,3,5,manager,1,single,15789.17,41051.83
4,male,83.38,3,2,healthcare representative,4,married,5387.5,14007.5
1,male,34.6,2,1,sales representative,3,married,2235.83,5813.17
4,female,25.97,3,1,sales representative,4,married,1678.33,4363.67
3,male,44.38,3,1,laboratory technician,3,single,2867.5,7455.5
2,female,69.53,2,2,sales executive,4,married,4492.84,11681.39
3,female,36.25,3,1,laboratory technician,1,,2342.59,6090.75
2,male,36.25,3,1,research scientist,1,married,2342.59,6090.75
1,male,176.22,3,3,research director,3,,11386.67,29605.33
3,male,64.75,3,2,human resources,2,divorced,4184.17,10878.83
1,male,69.53,3,2,manufacturing director,2,married,4492.84,11681.39
4,male,36.25,3,1,laboratory technician,4,,2342.59,6090.75
1,female,69.53,3,2,sales executive,3,married,4492.84,11681.39
2,male,69.53,3,2,laboratory technician,2,married,4492.84,11681.39
3,male,36.25,3,1,human resources,1,divorced,2342.59,6090.75
3,female,243.03,2,5,manager,4,,15703.33,40828.67
4,male,36.25,2,1,research scientist,4,married,2342.59,6090.75
2,female,61.12,4,1,research scientist,3,single,3949.17,10267.83
3,female,129.06,3,3,sales executive,4,single,8339.32,21682.23
2,female,69.53,1,2,sales executive,3,,4492.84,11681.39
2,male,69.53,3,2,manufacturing director,2,divorced,4492.84,11681.39
1,male,137.35,1,3,manufacturing director,4,,8875.0,23075.0
1,male,69.53,2,2,sales executive,3,,4492.84,11681.39
4,female,55.68,3,2,research scientist,3,,3597.5,9353.5
4,female,36.25,3,1,research scientist,1,divorced,2342.59,6090.75
3,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
4,male,26.1,3,1,research scientist,2,,1686.67,4385.33
3,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
3,male,39.44,3,1,research scientist,2,,2548.33,6625.67
3,female,36.25,3,1,research scientist,1,divorced,2342.59,6090.75
3,female,36.25,3,1,laboratory technician,4,single,2342.59,6090.75
3,female,50.67,3,1,research scientist,4,,3274.17,8512.83
4,female,36.25,3,1,research scientist,2,,2342.59,6090.75
3,male,36.25,2,1,laboratory technician,3,,2342.59,6090.75
4,female,69.53,4,2,manufacturing director,1,divorced,4492.84,11681.39
2,female,57.07,3,2,laboratory technician,2,single,3687.5,9587.5
3,male,69.53,2,2,manufacturing director,1,married,4492.84,11681.39
3,male,69.53,3,2,laboratory technician,4,married,4492.84,11681.39
2,male,30.02,4,1,research scientist,2,,1940.0,5044.0
4,male,69.53,2,2,healthcare representative,4,,4492.84,11681.39
4,male,129.06,3,3,healthcare representative,1,,8339.32,21682.23
4,female,34.27,3,1,research scientist,1,,2214.17,5756.83
3,male,36.25,3,1,research scientist,3,single,2342.59,6090.75
4,female,76.61,3,2,sales executive,1,married,4950.0,12870.0
3,female,33.82,2,1,research scientist,2,married,2185.0,5681.0
3,female,41.42,2,1,laboratory technician,4,single,2676.67,6959.33
2,male,36.25,3,1,human resources,3,married,2342.59,6090.75
4,male,36.25,2,1,laboratory technician,3,single,2342.59,6090.75
2,female,36.25,3,1,laboratory technician,3,divorced,2342.59,6090.75
3,male,69.53,3,2,sales executive,4,,4492.84,11681.39
2,male,129.06,3,3,research director,3,divorced,8339.32,21682.23
3,female,37.54,2,1,research scientist,4,married,2425.83,6307.17
1,male,69.53,4,2,manufacturing director,3,,4492.84,11681.39
4,female,69.53,4,2,research scientist,1,single,4492.84,11681.39
4,male,89.39,3,2,sales executive,4,divorced,5775.83,15017.17
1,female,69.53,3,2,manufacturing director,3,married,4492.84,11681.39
4,male,28.06,2,2,laboratory technician,1,,1813.33,4714.67
4,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
4,male,41.66,2,1,research scientist,3,single,2691.67,6998.33
1,female,129.06,3,3,research director,4,divorced,8339.32,21682.23
4,male,69.53,3,2,healthcare representative,4,,4492.84,11681.39
1,male,36.25,3,1,laboratory technician,2,divorced,2342.59,6090.75
3,female,240.72,3,5,research director,1,single,15554.17,40440.83
4,female,35.97,3,1,sales representative,2,divorced,2324.17,6042.83
2,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
1,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
1,male,82.67,2,2,human resources,1,,5341.67,13888.33
3,male,36.25,3,1,research scientist,4,,2342.59,6090.75
1,male,63.72,2,2,research scientist,2,,4117.5,10705.5
1,male,36.25,1,1,research scientist,4,married,2342.59,6090.75
4,male,246.75,3,5,research director,3,married,15943.72,41453.67
2,male,51.37,2,1,laboratory technician,4,,3319.17,8629.83
4,male,81.86,3,2,manufacturing director,4,,5289.17,13751.83
3,male,37.45,3,1,research scientist,4,,2420.0,6292.0
3,male,34.77,3,1,human resources,3,divorced,2246.67,5841.33
4,female,69.53,3,2,sales executive,3,,4492.84,11681.39
1,female,28.04,2,1,sales representative,2,single,1811.67,4710.33
4,male,87.12,3,2,healthcare representative,3,,5629.17,14635.83
1,male,36.25,3,1,sales representative,4,single,2342.59,6090.75
3,male,34.27,2,1,research scientist,2,,2214.17,5756.83
1,male,36.25,3,1,research scientist,4,,2342.59,6090.75
4,male,36.25,3,1,laboratory technician,2,,2342.59,6090.75
