,Unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
328,328,34,no,,550.64,,21,4,,1,329,4,male,,4,2,sales executive,4,single,,11563.5,1,y,,12,3.0,4,part time,0,10.0,3,3.0,10,,5,7,,1989,53370.0,,,yes
329,329,31,no,travel_rarely,556.26,,6,4,medical,1,330,1,male,69.53208262471655,4,2,sales executive,4,divorced,,11681.39,4,y,no,22,4.0,4,part time,2,13.0,4,4.0,7,,5,7,,1992,53914.11,,,yes
330,330,43,no,travel_frequently,556.26,,9,5,,1,331,4,male,,3,2,laboratory technician,3,divorced,,11681.39,3,y,,13,3.0,2,part time,1,10.0,3,3.0,8,,4,7,,1980,53914.11,,,no
331,331,53,no,,556.26,sales,1,1,,1,332,4,female,,3,2,sales executive,1,single,,11681.39,7,y,,20,4.0,4,part time,0,18.0,2,4.0,14,,8,10,,1970,53914.11,sales executive  -  sales,,no
332,332,37,no,travel_rarely,973.35,,3,3,other,1,333,3,male,,3,3,manufacturing director,3,married,7861.67,20440.33,1,y,no,15,,3,part time,1,,2,3.0,10,,7,8,7861.67,1986,94340.0,,,yes
333,333,54,no,,1032.49,,19,4,,1,334,3,male,,3,3,human resources,2,,8339.32,21682.23,2,y,,15,,3,part time,1,16.0,1,4.0,9,,7,1,8339.32,1969,100071.84,,,yes
334,334,38,no,travel_rarely,556.26,sales,7,4,marketing,1,335,4,female,,2,2,sales executive,4,,4492.84,11681.39,0,y,no,20,,1,part time,0,,2,3.0,7,,0,5,4492.84,1985,53914.11,sales executive  -  sales,,yes
335,335,29,no,,290.04,research & development,1,4,life sciences,1,336,2,male,36.25443871706758,1,1,research scientist,4,divorced,2342.59,6090.75,1,y,,18,3.0,4,part time,1,10.0,5,3.0,10,,2,8,2342.59,1994,28111.13,research scientist  -  research & development,,yes
336,336,34,no,,1032.49,,9,3,medical,1,337,4,female,129.06091077207583,2,3,healthcare representative,2,,,21682.23,1,y,,14,3.0,2,part time,0,9.0,3,4.0,8,,7,7,,1989,100071.84,,,no
337,337,39,no,,556.26,,2,4,technical degree,1,338,4,female,,2,2,healthcare representative,3,single,4492.84,11681.39,1,y,no,11,3.0,1,part time,0,20.0,4,3.0,20,7.0,11,10,4492.84,1984,53914.11,,,no
338,338,32,no,,556.73,,10,3,marketing,1,339,4,male,,3,2,sales executive,4,,4496.67,11691.33,1,y,,12,3.0,4,full time,0,10.0,2,2.0,10,,0,8,4496.67,1991,53960.0,,,yes
339,339,38,no,travel_rarely,556.26,,1,4,life sciences,1,340,2,female,,4,2,healthcare representative,4,,4492.84,11681.39,0,y,,13,3.0,3,part time,0,10.0,4,,9,,1,8,4492.84,1985,53914.11,,,yes
340,340,27,no,travel_rarely,1032.49,,1,2,life sciences,1,341,3,female,129.06091077207583,3,3,manufacturing director,1,married,8339.32,21682.23,1,y,,11,3.0,4,part time,0,9.0,3,3.0,9,,0,7,8339.32,1996,100071.84,,,no
341,341,32,no,travel_rarely,1151.33,,3,2,life sciences,1,342,3,female,143.9156746031746,3,3,research director,4,single,9299.17,24177.83,3,y,,15,3.0,4,full time,0,10.0,6,3.0,7,,7,7,9299.17,1991,111590.0,,,no
342,342,47,no,,511.75,,35,4,marketing,1,343,4,male,,3,2,sales executive,1,single,4133.33,10746.67,2,y,,12,3.0,4,,0,20.0,2,3.0,7,,1,7,4133.33,1976,,,,no
343,343,27,no,travel_frequently,907.21,,10,2,,1,344,4,male,113.40178571428572,3,3,manufacturing director,1,,7327.5,19051.5,1,y,no,21,4.0,3,part time,2,9.0,4,2.0,9,,1,7,7327.5,1996,87930.0,,,yes
344,344,41,no,,1979.82,,1,3,,1,345,4,male,,2,5,manager,3,,,41576.17,1,y,no,12,,2,full time,1,22.0,3,3.0,22,,2,10,,1982,191890.0,,,no
345,345,28,yes,,228.63,research & development,35,2,,1,346,3,female,,1,1,research scientist,2,,1846.67,4801.33,7,y,yes,13,3.0,4,part time,0,10.0,4,3.0,7,,3,7,1846.67,1995,22160.0,research scientist  -  research & development,,yes
346,346,36,no,,1208.48,research & development,8,3,,1,347,1,female,,4,3,research director,1,married,9760.83,25378.17,9,y,,14,3.0,1,full time,1,10.0,2,3.0,8,,0,5,9760.83,1987,117130.0,research director  -  research & development,,no
347,347,30,no,,547.24,,27,5,marketing,1,348,3,male,,3,2,sales executive,4,divorced,4420.0,11492.0,7,y,no,23,,4,,1,10.0,2,2.0,8,,7,7,4420.0,1993,53040.0,,,yes
348,348,56,no,travel_rarely,1145.55,,9,3,,1,349,3,male,143.19345238095238,3,4,healthcare representative,4,married,9252.5,24056.5,7,y,no,11,3.0,3,full time,0,30.0,1,2.0,10,,1,1,9252.5,1967,111030.0,,,no
349,349,45,no,travel_rarely,684.25,,2,2,,1,350,2,male,,1,2,sales representative,3,single,5526.67,14369.33,0,y,no,13,3.0,1,full time,0,9.0,3,3.0,8,,3,1,5526.67,1978,66320.0,,,yes
350,350,36,no,non-travel,782.79,,8,4,,1,351,1,male,,2,3,sales executive,1,single,6322.5,16438.5,1,y,,15,3.0,2,part time,0,10.0,1,3.0,10,,0,9,6322.5,1987,75870.0,,,no
351,351,29,no,,447.26,,27,3,medical,1,352,2,female,,3,2,healthcare representative,3,married,3612.5,9392.5,4,y,no,12,3.0,1,part time,1,11.0,3,2.0,8,,1,1,3612.5,1994,43350.0,,,yes
352,352,38,no,,616.98,,2,4,life sciences,1,353,1,female,,4,2,manufacturing director,1,single,4983.33,12956.67,6,y,,12,3.0,4,full time,0,17.0,2,3.0,15,,4,12,4983.33,1985,59800.0,,,yes
353,353,40,no,,437.87,,13,2,medical,1,354,1,female,,4,2,healthcare representative,2,,3536.67,9195.33,1,y,no,24,4.0,4,,1,8.0,2,3.0,8,,3,7,3536.67,1983,,,,yes
354,354,42,no,travel_frequently,1973.98,,8,3,,1,355,2,male,,3,5,manager,4,,15943.72,41453.67,1,y,no,13,3.0,2,,1,24.0,4,2.0,24,,14,9,15943.72,1981,,,,yes
355,355,36,no,travel_rarely,539.4,,1,3,other,1,356,3,female,,3,2,manufacturing director,2,,4356.67,11327.33,0,y,,15,3.0,1,part time,1,,2,3.0,9,,0,5,4356.67,1987,52280.0,,,no
356,356,29,no,travel_rarely,278.57,,23,2,,1,357,3,male,,4,1,research scientist,3,married,2250.0,5850.0,1,y,,24,4.0,3,part time,1,10.0,3,3.0,10,,0,7,2250.0,1994,27000.0,,,yes
357,357,55,yes,,556.26,,2,1,medical,1,358,3,male,69.53208262471655,3,2,sales executive,4,single,,11681.39,4,y,,16,3.0,3,part time,0,,3,2.0,9,,7,3,,1968,53914.11,,,no
358,358,28,no,,556.26,sales,2,4,,1,359,2,female,,3,2,sales executive,2,,,11681.39,1,y,,20,4.0,1,part time,0,8.0,2,3.0,8,,7,5,,1995,53914.11,sales executive  -  sales,,yes
359,359,26,yes,,244.11,,5,2,medical,1,360,3,female,,2,1,research scientist,3,married,1971.67,5126.33,1,y,,14,3.0,1,part time,1,8.0,2,3.0,8,,1,7,1971.67,1997,23660.0,,,yes
360,360,44,no,,290.04,,9,2,,1,361,2,male,,3,1,research scientist,1,,2342.59,6090.75,1,y,yes,13,3.0,4,,0,8.0,0,3.0,8,,7,1,2342.59,1979,,,,yes
361,361,41,yes,,290.04,research & development,2,4,life sciences,1,362,2,female,,1,1,laboratory technician,4,divorced,2342.59,6090.75,4,y,yes,13,3.0,3,,1,,1,2.0,7,,1,0,2342.59,1982,,laboratory technician  -  research & development,,yes
362,362,31,no,travel_rarely,240.29,,7,4,,1,363,2,male,,2,1,sales representative,3,,1940.83,5046.17,3,y,,15,,2,part time,0,,2,4.0,7,,5,2,1940.83,1992,23290.0,,,no
363,363,26,no,travel_frequently,443.03,sales,28,3,medical,1,364,2,male,,2,2,sales executive,1,,,9303.67,1,y,,12,3.0,2,part time,0,,2,3.0,7,,0,7,,1997,42940.0,sales executive  -  sales,,yes
364,364,31,no,,556.26,,12,3,medical,1,365,4,female,,3,2,healthcare representative,4,,,11681.39,0,y,,11,3.0,3,part time,2,10.0,2,1.0,9,,8,5,,1992,53914.11,,,no
365,365,32,no,,693.85,,3,4,medical,1,366,3,female,,3,2,manufacturing director,1,married,,14570.83,1,y,,12,3.0,3,full time,1,8.0,2,4.0,8,,6,3,,1991,67250.0,,,no
366,366,36,yes,travel_rarely,1065.28,,3,1,life sciences,1,367,3,male,,2,3,sales executive,4,married,8604.17,22370.83,1,y,,11,,1,full time,1,,6,3.0,16,,3,7,8604.17,1987,103250.0,,,no
367,367,45,no,non-travel,458.82,,47,2,,1,368,4,male,,3,2,laboratory technician,2,,,9635.17,1,y,,12,3.0,2,part time,0,,5,2.0,9,,0,8,,1978,44470.0,,,yes
368,368,39,no,travel_rarely,1032.49,,2,5,,1,369,1,male,129.06091077207583,4,3,sales executive,3,single,,21682.23,0,y,no,18,3.0,4,part time,0,9.0,3,3.0,8,,0,7,,1984,100071.84,,,no
369,369,36,no,non-travel,556.26,,8,4,technical degree,1,370,1,male,,3,2,sales executive,4,divorced,4492.84,11681.39,4,y,no,13,,4,part time,2,12.0,3,3.0,7,,0,7,4492.84,1987,53914.11,,,yes
370,370,46,no,,1118.93,,7,2,medical,1,371,4,male,139.86607142857142,3,3,manufacturing director,3,,9037.5,23497.5,6,y,,13,3.0,2,full time,1,,3,3.0,8,,0,7,9037.5,1977,108450.0,,,no
371,371,54,no,travel_rarely,1032.49,,17,3,technical degree,1,372,3,female,,3,3,manufacturing director,3,,8339.32,21682.23,8,y,,11,,3,part time,1,22.0,2,3.0,10,,0,8,8339.32,1969,100071.84,,,yes
372,372,30,no,travel_rarely,1032.49,,8,2,,1,373,2,female,,4,3,research director,1,,8339.32,21682.23,0,y,yes,12,3.0,3,part time,3,,4,2.0,8,,1,7,8339.32,1993,100071.84,,,yes
373,373,26,no,,564.57,,2,2,medical,1,374,4,male,70.57142857142857,4,2,manufacturing director,4,married,,11856.0,1,y,,12,3.0,2,full time,0,,2,3.0,8,,1,3,,1997,54720.0,,,no
374,374,55,no,travel_frequently,658.77,,18,4,medical,1,375,3,male,,3,2,healthcare representative,2,married,5320.83,13834.17,3,y,,14,3.0,4,full time,2,,3,3.0,8,,6,7,5320.83,1968,63850.0,,,yes
375,375,50,no,non-travel,654.85,sales,1,3,life sciences,1,376,4,female,,3,2,sales executive,3,married,,13751.83,0,y,,12,3.0,1,full time,1,,3,3.0,18,,0,13,,1973,63470.0,sales executive  -  sales,,yes
376,376,32,no,non-travel,290.04,,29,4,,1,377,4,female,,3,1,laboratory technician,3,single,,6090.75,9,y,no,12,3.0,2,part time,0,10.0,2,3.0,8,,7,7,,1991,28111.13,,,yes
377,377,53,no,travel_frequently,776.39,,2,3,marketing,1,378,3,female,97.0486111111111,2,3,sales executive,2,,,16304.17,2,y,,12,3.0,1,part time,1,30.0,2,,15,,6,12,,1970,75250.0,,,yes
378,378,40,no,travel_rarely,556.26,,26,3,,1,379,3,male,,3,2,sales executive,1,married,4492.84,11681.39,1,y,,14,3.0,2,part time,1,8.0,3,2.0,7,,7,5,4492.84,1983,53914.11,,,no
379,379,55,no,,1582.77,,2,1,,1,380,3,male,,2,4,manager,1,single,12783.92,33238.2,7,y,no,15,3.0,2,,0,,3,4.0,9,,6,2,12783.92,1968,,,,yes
380,380,28,yes,non-travel,1032.49,,24,2,,1,381,2,male,,2,3,healthcare representative,1,single,8339.32,21682.23,1,y,no,12,3.0,1,part time,0,10.0,2,2.0,10,,1,9,8339.32,1995,100071.84,,,no
381,381,28,no,travel_rarely,377.62,,10,3,other,1,382,3,female,,3,2,research scientist,3,single,3050.0,7930.0,3,y,no,13,3.0,4,,0,,4,4.0,8,,1,7,3050.0,1995,,,,yes
382,382,35,yes,,1032.49,,4,3,technical degree,1,383,4,male,,3,3,sales executive,1,,,21682.23,0,y,,22,4.0,1,part time,0,9.0,2,3.0,8,,4,7,,1988,100071.84,,,yes
383,383,33,yes,travel_frequently,556.26,research & development,36,4,medical,1,384,3,female,69.53208262471655,2,2,research scientist,3,single,4492.84,11681.39,1,y,no,22,4.0,2,part time,0,14.0,4,3.0,13,,3,8,4492.84,1990,53914.11,research scientist  -  research & development,,yes
384,384,25,yes,,290.04,research & development,4,1,technical degree,1,385,4,male,,3,1,laboratory technician,4,married,,6090.75,1,y,,15,,2,part time,1,7.0,3,4.0,7,,5,6,,1998,28111.13,laboratory technician  -  research & development,,yes
385,385,38,no,,901.75,sales,10,4,,1,386,3,male,,2,3,sales executive,3,,7283.33,18936.67,0,y,yes,14,3.0,2,part time,2,9.0,2,,8,,2,7,7283.33,1985,87400.0,sales executive  -  sales,,yes
386,386,28,no,,1032.49,,12,3,,1,387,1,female,,3,3,manufacturing director,2,,,21682.23,0,y,,17,3.0,2,part time,3,,3,2.0,9,,1,7,,1995,100071.84,,,yes
387,387,43,no,travel_frequently,1032.49,,27,3,life sciences,1,388,3,female,129.06091077207583,3,3,manufacturing director,1,married,,21682.23,8,y,no,11,3.0,3,part time,1,18.0,1,3.0,8,,0,1,,1980,100071.84,,,no
388,388,39,yes,travel_frequently,1582.77,research & development,2,3,life sciences,1,389,1,male,197.8464183087028,3,4,healthcare representative,4,,12783.92,33238.2,7,y,no,11,3.0,4,full time,3,21.0,4,3.0,18,,11,5,12783.92,1984,153407.07,healthcare representative  -  research & development,,no
389,389,40,no,travel_rarely,1973.98,,14,3,,1,390,3,male,,2,5,research director,3,,,41453.67,1,y,no,14,,1,full time,0,,2,,20,,4,9,,1983,191324.62,,,yes
390,390,29,no,travel_rarely,556.26,,8,1,medical,1,391,2,male,,2,2,manufacturing director,4,married,4492.84,11681.39,1,y,,15,3.0,3,,1,10.0,2,2.0,10,,1,2,4492.84,1994,,,,yes
391,391,40,no,,1392.75,,32,4,,1,392,2,female,,3,3,research director,3,,11249.17,29247.83,9,y,no,17,3.0,3,full time,0,20.0,3,2.0,18,,2,13,11249.17,1983,134990.0,,,no
392,392,26,no,travel_rarely,290.04,,3,4,,1,393,1,male,,4,1,laboratory technician,4,,2342.59,6090.75,1,y,,22,4.0,2,part time,1,8.0,2,3.0,8,,0,7,2342.59,1997,28111.13,,,yes
393,393,35,no,travel_rarely,1032.49,,2,3,,1,394,3,male,,2,3,manufacturing director,2,divorced,8339.32,21682.23,2,y,no,18,3.0,2,,1,15.0,2,4.0,7,,6,4,8339.32,1988,,,,yes
394,394,53,no,,1973.98,research & development,7,2,medical,1,395,4,female,,3,5,manager,3,divorced,15943.72,41453.67,3,y,no,18,3.0,2,full time,1,26.0,6,3.0,7,,4,7,15943.72,1970,191324.62,manager  -  research & development,,no
395,395,35,no,,556.26,,17,4,life sciences,1,396,3,male,,3,2,sales executive,1,,,11681.39,3,y,,15,3.0,4,part time,3,15.0,2,3.0,7,,1,7,,1988,53914.11,,,yes
396,396,33,no,,556.26,,25,3,medical,1,397,2,female,,3,2,sales executive,3,,4492.84,11681.39,1,y,no,12,3.0,1,part time,1,,3,2.0,10,,0,1,4492.84,1990,53914.11,,,yes
397,397,36,no,,290.04,research & development,6,4,life sciences,1,398,3,male,,1,1,laboratory technician,3,divorced,,6090.75,1,y,no,14,3.0,3,part time,1,,4,3.0,7,,1,7,,1987,28111.13,laboratory technician  -  research & development,,yes
398,398,30,no,travel_rarely,360.18,,7,4,life sciences,1,399,3,male,45.02281746031746,3,2,laboratory technician,3,divorced,2909.17,7563.83,1,y,,13,,1,part time,3,,4,2.0,10,,8,9,2909.17,1993,34910.0,,,yes
399,399,60,no,,538.57,,29,4,,1,400,2,male,,4,2,sales executive,4,divorced,4350.0,11310.0,0,y,,18,3.0,2,,1,12.0,3,3.0,11,,1,9,4350.0,1963,,,,yes
400,400,32,no,,556.26,,2,2,life sciences,1,401,4,female,69.53208262471655,3,2,research scientist,3,single,,11681.39,4,y,yes,14,3.0,4,part time,0,10.0,2,3.0,8,,0,7,,1991,53914.11,,,no
401,401,36,no,,1057.75,,1,3,technical degree,1,402,3,female,,1,3,manufacturing director,1,divorced,8543.33,22212.67,2,y,yes,21,4.0,3,full time,1,17.0,2,3.0,7,,7,7,8543.33,1987,102520.0,,,yes
402,402,27,no,travel_rarely,290.04,,14,3,,1,403,1,male,,3,1,research scientist,1,,2342.59,6090.75,1,y,,14,3.0,4,,2,,3,2.0,9,,6,8,2342.59,1996,,,,yes
403,403,43,no,,2036.67,research & development,3,3,life sciences,1,404,3,male,,1,5,research director,4,,16450.0,42770.0,3,y,no,14,3.0,2,full time,1,,2,3.0,8,,0,7,16450.0,1980,197400.0,research director  -  research & development,,yes
404,404,29,no,travel_rarely,1582.77,,1,3,,1,405,4,female,,2,4,research director,4,divorced,,33238.2,3,y,no,14,3.0,2,full time,2,9.0,2,2.0,7,,1,7,,1994,153407.07,,,yes
405,405,59,no,,1032.49,,24,4,,1,406,2,male,,3,3,manufacturing director,4,single,8339.32,21682.23,6,y,no,12,3.0,4,part time,0,,6,2.0,9,,5,4,8339.32,1964,100071.84,,,no
406,406,43,no,travel_rarely,1032.49,,4,4,marketing,1,407,4,female,,2,3,sales executive,4,single,8339.32,21682.23,3,y,no,14,3.0,4,part time,0,23.0,3,4.0,21,,15,17,8339.32,1980,100071.84,,,yes
407,407,44,yes,travel_rarely,1032.49,,15,3,medical,1,408,1,female,129.06091077207583,3,3,healthcare representative,4,married,8339.32,21682.23,1,y,,11,3.0,4,part time,1,,2,3.0,10,,0,5,8339.32,1979,100071.84,,,yes
408,408,29,yes,,290.04,research & development,7,3,technical degree,1,409,2,female,,3,1,laboratory technician,3,divorced,2342.59,6090.75,3,y,yes,13,3.0,1,,2,10.0,2,3.0,7,,7,7,2342.59,1994,,laboratory technician  -  research & development,,yes
409,409,32,no,travel_rarely,640.61,,8,3,,1,410,3,male,,4,2,sales executive,4,married,5174.17,13452.83,1,y,,15,3.0,3,full time,2,,4,4.0,10,,0,8,5174.17,1991,62090.0,,,no
410,410,36,no,travel_rarely,731.92,,10,4,technical degree,1,411,4,female,,3,3,healthcare representative,3,married,,15370.33,3,y,no,12,3.0,1,part time,0,,0,3.0,7,,1,7,,1987,70940.0,,,yes
411,411,52,yes,,1032.49,sales,5,3,,1,412,2,male,,3,3,sales executive,2,single,8339.32,21682.23,9,y,yes,19,3.0,3,part time,0,,2,2.0,8,,7,7,8339.32,1971,100071.84,sales executive  -  sales,,yes
412,412,39,no,travel_rarely,467.79,,33,2,,1,413,1,male,,3,2,manufacturing director,3,single,3778.33,9823.67,0,y,,11,3.0,1,,0,,6,,8,,1,7,3778.33,1984,45340.0,,,yes
413,413,34,no,,876.98,,9,3,,1,414,4,male,,3,3,healthcare representative,4,,7083.33,18416.67,0,y,,11,,4,part time,1,10.0,0,2.0,9,,1,6,7083.33,1989,85000.0,,,yes
414,414,38,no,,556.26,,2,2,life sciences,1,415,2,female,,3,2,sales executive,1,,,11681.39,3,y,,15,3.0,4,,1,11.0,3,3.0,7,,1,7,,1985,53914.11,,,yes
415,415,36,no,travel_frequently,478.63,sales,12,3,marketing,1,416,1,female,,4,2,sales executive,1,married,3865.83,10051.17,2,y,no,16,3.0,4,part time,1,,2,2.0,15,,6,13,3865.83,1987,46390.0,sales executive  -  sales,,yes
416,416,35,no,,553.33,,1,3,,1,417,4,female,,2,2,laboratory technician,4,,4469.17,11619.83,0,y,no,12,3.0,2,part time,1,10.0,0,3.0,9,,0,0,4469.17,1988,53630.0,,,no
417,417,55,yes,,1582.77,,13,4,,1,418,1,male,,4,4,sales executive,3,,12783.92,33238.2,6,y,,17,3.0,3,full time,0,,2,2.0,19,,3,8,12783.92,1968,153407.07,,,yes
418,418,34,no,,556.26,,29,3,,1,419,2,male,,3,2,laboratory technician,3,,4492.84,11681.39,4,y,,13,3.0,1,part time,2,10.0,1,3.0,8,,7,7,4492.84,1989,53914.11,,,no
419,419,43,no,,421.06,,6,3,medical,1,420,1,female,,2,2,research scientist,3,single,3400.83,8842.17,1,y,yes,14,3.0,1,part time,0,20.0,3,1.0,20,,1,8,3400.83,1980,40810.0,,,no
420,420,42,no,travel_rarely,1582.77,,10,3,human resources,1,421,3,female,,3,4,manager,1,married,12783.92,33238.2,0,y,,14,3.0,3,full time,1,21.0,5,3.0,20,,0,9,12783.92,1981,153407.07,,,no
421,421,26,no,travel_rarely,369.16,,7,3,,1,422,3,male,,4,1,laboratory technician,1,single,,7752.33,0,y,no,12,3.0,4,full time,0,8.0,2,3.0,7,,0,7,,1997,35780.0,,,yes
422,422,29,yes,,1032.49,,14,1,other,1,423,3,female,,3,3,healthcare representative,4,single,8339.32,21682.23,0,y,yes,12,3.0,1,part time,0,,1,3.0,8,,7,7,8339.32,1994,100071.84,,,yes
423,423,54,no,,1787.81,research & development,1,3,,1,424,4,female,223.47619047619048,3,4,research director,4,,,37544.0,6,y,,19,3.0,4,full time,0,29.0,3,2.0,20,,12,7,,1969,173280.0,research director  -  research & development,,no
424,424,55,no,,1582.77,,1,4,,1,425,2,male,,4,4,research director,4,divorced,12783.92,33238.2,2,y,no,13,3.0,4,full time,2,31.0,4,4.0,7,,0,0,12783.92,1968,153407.07,,,yes
425,425,40,no,non-travel,556.26,,9,4,other,1,426,3,male,,3,2,laboratory technician,3,,4492.84,11681.39,3,y,no,11,3.0,3,part time,2,11.0,2,,8,,0,7,4492.84,1983,53914.11,,,yes
426,426,31,no,,1113.56,,8,2,,1,427,1,male,,3,3,sales executive,4,divorced,8994.17,23384.83,1,y,,18,,1,full time,1,13.0,5,3.0,13,,9,9,8994.17,1992,107930.0,,,yes
427,427,46,yes,,1032.49,,9,3,marketing,1,428,1,male,,3,3,sales executive,4,divorced,8339.32,21682.23,4,y,no,11,3.0,1,,1,28.0,1,4.0,7,,4,3,8339.32,1977,,,,yes
428,428,45,no,travel_rarely,1119.55,,20,3,medical,1,429,2,male,,1,3,healthcare representative,1,,9042.5,23510.5,2,y,yes,18,3.0,2,full time,1,,2,3.0,7,,0,7,9042.5,1978,108510.0,,,no
429,429,49,no,travel_rarely,1079.83,,7,4,life sciences,1,430,3,male,134.9781746031746,3,3,healthcare representative,2,divorced,,22676.33,3,y,,14,3.0,2,full time,2,29.0,3,3.0,8,,0,7,,1974,104660.0,,,no
430,430,29,no,travel_rarely,556.26,,19,3,,1,431,3,male,69.53208262471655,2,2,sales executive,3,,4492.84,11681.39,1,y,,14,3.0,3,part time,2,10.0,3,3.0,10,,0,4,4492.84,1994,53914.11,,,yes
431,431,29,yes,,243.7,,1,4,technical degree,1,432,1,male,,2,1,research scientist,1,single,,5117.67,6,y,no,13,3.0,3,part time,0,,2,1.0,9,,0,7,,1994,23620.0,,,yes
432,432,29,no,,556.26,,8,1,other,1,433,3,female,,1,2,healthcare representative,1,,,11681.39,3,y,no,13,3.0,3,part time,1,9.0,3,3.0,7,,0,7,,1994,53914.11,,,yes
433,433,40,no,travel_rarely,1582.77,human resources,6,2,,1,434,3,male,197.8464183087028,3,4,manager,4,single,12783.92,33238.2,1,y,yes,21,4.0,4,full time,0,21.0,2,3.0,21,,7,7,12783.92,1983,153407.07,manager  -  human resources,,yes
434,434,48,no,,664.34,sales,16,4,life sciences,1,435,3,female,,3,2,sales executive,3,divorced,,13951.17,8,y,no,14,3.0,3,full time,1,18.0,2,,8,,7,7,,1975,64390.0,sales executive  -  sales,,yes
435,435,53,yes,,1032.49,,2,5,,1,436,3,female,,2,3,manufacturing director,4,married,,21682.23,0,y,,16,3.0,2,part time,1,,4,3.0,33,,1,9,,1970,100071.84,,,yes
436,436,44,no,,1973.98,,7,3,medical,1,437,2,female,,3,5,research director,4,,,41453.67,0,y,yes,14,,4,,1,,4,2.0,22,,1,10,,1979,191324.62,,,no
437,437,45,no,,595.21,,5,5,,1,438,3,female,74.40178571428571,1,2,laboratory technician,1,,,12499.5,1,y,,14,3.0,1,full time,0,10.0,3,3.0,10,,1,4,,1978,57690.0,,,no
438,438,45,no,non-travel,452.42,,26,3,marketing,1,439,1,male,,2,2,sales executive,1,,3654.17,9500.83,1,y,,15,,1,,1,10.0,2,,10,,4,5,3654.17,1978,,,,no
439,439,34,no,travel_frequently,556.26,,10,4,,1,440,3,male,,4,2,manufacturing director,4,,4492.84,11681.39,1,y,,13,3.0,1,part time,1,9.0,3,,9,,7,2,4492.84,1989,53914.11,,,yes
440,440,39,no,,556.26,research & development,10,5,medical,1,441,2,male,,3,2,manufacturing director,1,,4492.84,11681.39,2,y,,13,3.0,4,,3,,3,3.0,7,,7,7,4492.84,1984,,manufacturing director  -  research & development,,no
441,441,27,no,,419.51,research & development,36,3,,1,442,3,male,,2,1,laboratory technician,1,divorced,3388.33,8809.67,1,y,no,11,3.0,1,full time,2,7.0,3,3.0,7,,0,7,3388.33,1996,40660.0,laboratory technician  -  research & development,,yes
442,442,45,no,travel_rarely,556.26,,2,2,,1,443,4,female,,2,2,manufacturing director,4,divorced,4492.84,11681.39,1,y,,19,3.0,1,,2,10.0,3,3.0,10,,3,9,4492.84,1978,,,,yes
443,443,44,no,,556.26,,1,5,,1,444,1,male,,3,2,human resources,4,married,4492.84,11681.39,4,y,yes,11,3.0,3,,0,14.0,3,3.0,10,,0,2,4492.84,1979,,,,yes
444,444,25,no,,537.13,,2,1,life sciences,1,445,4,male,67.14087301587303,4,2,manufacturing director,3,divorced,4338.33,11279.67,1,y,,17,3.0,3,part time,2,7.0,6,3.0,7,,0,7,4338.33,1998,52060.0,,,no
445,445,49,no,,1582.77,,1,3,,1,446,3,male,,3,4,manager,3,single,12783.92,33238.2,4,y,,14,3.0,1,full time,0,23.0,2,3.0,8,,0,0,12783.92,1974,153407.07,,,yes
446,446,48,yes,travel_frequently,273.93,,7,2,,1,447,4,female,,3,1,sales representative,3,,2212.5,5752.5,2,y,,11,,3,,2,19.0,3,3.0,9,,7,7,2212.5,1975,,,,no
447,447,26,no,,265.16,,7,3,medical,1,448,4,male,,3,1,laboratory technician,4,,2141.67,5568.33,1,y,no,20,4.0,3,part time,0,7.0,5,3.0,7,,5,7,2141.67,1997,25700.0,,,yes
448,448,44,no,travel_rarely,1032.49,,2,3,life sciences,1,449,3,female,129.06091077207583,4,3,healthcare representative,4,,8339.32,21682.23,1,y,,19,,2,part time,1,,2,3.0,8,,6,7,8339.32,1979,100071.84,,,yes
449,449,36,no,,464.49,,2,4,,1,450,3,female,58.06150793650794,3,2,sales representative,4,single,3751.67,9754.33,3,y,,15,,3,part time,0,17.0,2,2.0,13,,6,7,3751.67,1987,45020.0,,,yes
450,450,46,no,,556.26,research & development,13,4,,1,451,3,male,69.53208262471655,3,2,healthcare representative,2,single,4492.84,11681.39,6,y,no,14,3.0,4,part time,0,19.0,3,3.0,10,,0,9,4492.84,1977,53914.11,healthcare representative  -  research & development,,yes
451,451,35,no,,556.26,,27,4,life sciences,1,452,4,male,,3,2,manufacturing director,3,married,4492.84,11681.39,2,y,,16,3.0,2,part time,1,17.0,3,3.0,7,,0,7,4492.84,1988,53914.11,,,yes
452,452,30,no,travel_frequently,512.57,,2,4,,1,453,4,female,,2,1,research scientist,1,,4140.0,10764.0,0,y,,16,3.0,4,,0,10.0,2,,9,,0,7,4140.0,1993,49680.0,,,no
453,453,30,no,,1032.49,,15,2,marketing,1,454,3,male,,2,3,sales executive,1,,8339.32,21682.23,2,y,no,11,3.0,1,part time,1,,2,3.0,7,,1,7,8339.32,1993,100071.84,,,yes
